URN,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Region,Local authority,Postcode,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Inspection number of latest graded inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Does the latest graded inspection relate to the URN of the current school?,URN at time of latest graded inspection,School type at time of latest graded inspection,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Previous graded inspection number,Previous inspection start date,Previous publication date,Does the previous graded inspection relate to the URN of the current school?,URN at time of previous graded inspection,School type at time of previous graded inspection,Previous graded inspection overall effectiveness,Previous category of concern,Previous quality of education,Previous behaviour and attitudes,Previous personal development,Previous effectiveness of leadership and management
100000,Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,London,City of London,EC3A 5DE,4,244,10323215,S5 Inspection,S5 Inspection,Schools - S5,12/06/2024,11/07/2024,Yes,100000,Voluntary Aided School,1,,1,1,1,1,ITS411816,18/04/2013,14/05/2013,Yes,100000,Voluntary Aided School,1,,9,9,9,1
100005,Nursery,LA Nursery School,NULL,Not applicable,Not applicable,London,Camden,WC1N 2NY,3,123,ITS425578,S5 Inspection,S5 Inspection,Schools - S5,05/06/2014,02/07/2014,Yes,100005,LA Nursery School,1,,9,9,9,1,ITS354786,17/01/2011,08/02/2011,Yes,100005,LA Nursery School,1,,9,9,9,1
100006,PRU,Pupil Referral Unit,01/09/1999,Not applicable,Not applicable,London,Camden,NW3 2NY,3,20,10327859,S5 Inspection,S5 Inspection,Schools - S5,05/06/2024,04/07/2024,Yes,100006,Pupil Referral Unit,2,,2,1,1,1,ITS439444,24/04/2014,21/05/2014,Yes,100006,Pupil Referral Unit,2,,9,9,9,2
100007,PRU,Pupil Referral Unit,NULL,Not applicable,Not applicable,London,Camden,NW1 3EX,4,18,ITS447889,S5 Inspection,S5 Inspection,Schools - S5,26/03/2015,05/05/2015,Yes,100007,Pupil Referral Unit,2,,9,9,9,2,ITS376334,01/12/2011,06/01/2012,Yes,100007,Pupil Referral Unit,2,,9,9,9,2
100008,Primary,Community School,NULL,Not applicable,Does not have a sixth form,London,Camden,WC1H 9EG,4,298,10240870,S5 Inspection,S5 Inspection,Schools - S5,04/10/2022,17/11/2022,Yes,100008,Community School,2,,2,2,1,2,ITS448184,28/01/2015,26/02/2015,Yes,100008,Community School,2,,9,9,9,2
100009,Primary,Community School,NULL,Not applicable,Does not have a sixth form,London,Camden,NW6 1QL,4,397,ITS376335,S5 Inspection,S5 Inspection,Schools - S5,10/07/2012,10/09/2012,Yes,100009,Community School,2,,9,9,9,2,ITS307271,31/10/2007,15/11/2007,Yes,100009,Community School,2,,9,9,9,2
100010,Primary,Community School,NULL,Not applicable,Does not have a sixth form,London,Camden,NW1 9AL,5,308,10255371,S5 Inspection,S5 Inspection,Schools - S5,07/03/2023,23/05/2023,Yes,100010,Community School,2,,2,2,2,2,ITS425590,19/11/2013,10/12/2013,Yes,100010,Community School,2,,9,9,9,2
100011,Primary,Community School,NULL,Not applicable,Does not have a sixth form,London,Camden,N19 5DH,4,397,ITS439482,S5 Inspection,S5 Inspection,Schools - S5,05/06/2014,25/06/2014,Yes,100011,Community School,2,,9,9,9,2,ITS323210,17/06/2009,09/07/2009,Yes,100011,Community School,2,,9,9,9,2
100013,Primary,Community School,NULL,Not applicable,Does not have a sixth form,London,Camden,NW1 1HQ,5,209,10287167,S5 Inspection,S5 Inspection,Schools - S5,14/06/2023,31/07/2023,Yes,100013,Community School,1,,1,1,1,1,ITS440434,23/01/2014,27/02/2014,Yes,100013,Community School,2,,9,9,9,2
100014,Primary,Community School,NULL,Not applicable,Does not have a sixth form,London,Camden,NW3 2QT,4,229,ITS376336,S5 Inspection,S5 Inspection,Schools - S5,02/02/2012,27/02/2012,Yes,100014,Community School,2,,9,9,9,2,ITS285702,29/01/2007,14/02/2007,Yes,100014,Community School,2,,9,9,9,2
100015,Primary,Community School,NULL,Not applicable,Does not have a sixth form,London,Camden,NW1 8RP,5,223,10058817,S5 Inspection,S5 Inspection,Schools - S5,27/02/2019,26/03/2019,Yes,100015,Community School,2,,9,9,9,2,ITS439481,14/05/2014,11/06/2014,Yes,100015,Community School,2,,9,9,9,2
100018,Primary,Community School,NULL,Not applicable,Does not have a sixth form,London,Camden,NW1 3EX,5,381,10323216,S5 Inspection,S5 Inspection,Schools - S5,01/05/2024,12/06/2024,Yes,100018,Community School,2,,2,1,1,1,ITS450858,08/07/2014,04/09/2014,Yes,100018,Community School,2,,9,9,9,2
100019,Primary,Community School,NULL,Not applicable,Does not have a sixth form,London,Camden,NW3 1HU,2,342,10268740,S5 Inspection,S5 Inspection,Schools - S5,28/06/2023,25/09/2023,Yes,100019,Community School,2,,2,2,2,2,ITS402817,20/09/2012,19/10/2012,Yes,100019,Community School,2,,9,9,9,2
